graph,minDFScode
11,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,8,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
12,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,7,1,createanewbankaccount,6,sendapinnumberinaletter)"
13,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,7,1,createanewbankaccount,6,sendapinnumberinaletter)(7,8,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
14,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,7,1,createanewbankaccount,6,sendapinnumberinaletter)(7,8,1,sendapinnumberinaletter,17,endprocess)"
15,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,7,1,createanewbankaccount,6,sendapinnumberinaletter)(7,8,1,sendapinnumberinaletter,17,endprocess)(8,9,1,endprocess,18,anewbankaccountwascreated)"
16,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(6,7,1,sendabankcardinaletter,16,endprocess)"
17,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(6,7,1,sendabankcardinaletter,16,endprocess)(7,8,1,endprocess,18,anewbankaccountwascreated)"
18,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,9,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendabankcardinaletter,16,endprocess)(7,8,1,endprocess,18,anewbankaccountwascreated)"
19,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,8,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendabankcardinaletter,16,endprocess)"
20,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,6,sendapinnumberinaletter)"
21,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
22,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendapinnumberinaletter,17,endprocess)"
23,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendapinnumberinaletter,17,endprocess)(7,8,1,endprocess,18,anewbankaccountwascreated)"
24,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,6,1,sendawelcomepackinaletter,15,endprocess)"
25,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,6,1,sendawelcomepackinaletter,15,endprocess)(6,7,1,endprocess,18,anewbankaccountwascreated)"
26,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,8,1,createanewbankaccount,5,sendabankcardinaletter)(5,6,1,sendawelcomepackinaletter,15,endprocess)(6,7,1,endprocess,18,anewbankaccountwascreated)"
27,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,8,1,createanewbankaccount,5,sendabankcardinaletter)(4,9,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendawelcomepackinaletter,15,endprocess)(6,7,1,endprocess,18,anewbankaccountwascreated)"
28,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,8,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendawelcomepackinaletter,15,endprocess)(6,7,1,endprocess,18,anewbankaccountwascreated)"
29,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,7,1,createanewbankaccount,5,sendabankcardinaletter)(5,6,1,sendawelcomepackinaletter,15,endprocess)"
30,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,7,1,createanewbankaccount,5,sendabankcardinaletter)(4,8,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendawelcomepackinaletter,15,endprocess)"
31,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,7,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendawelcomepackinaletter,15,endprocess)"
32,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,6,1,sendawelcomepackinaletter,19,sendabankcardinaletter)"
33,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,6,1,sendawelcomepackinaletter,19,sendabankcardinaletter)(6,7,1,sendabankcardinaletter,20,sendapinnumberinaletter)"
34,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,6,1,sendawelcomepackinaletter,19,sendabankcardinaletter)(6,7,1,sendabankcardinaletter,20,sendapinnumberinaletter)(7,8,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
35,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)"
36,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(5,6,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
37,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(4,7,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
38,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(4,6,1,createanewbankaccount,6,sendapinnumberinaletter)"
39,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(4,6,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
40,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(4,6,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendapinnumberinaletter,17,endprocess)"
41,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(4,6,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendapinnumberinaletter,17,endprocess)(7,8,1,endprocess,18,anewbankaccountwascreated)"
42,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(5,6,1,sendabankcardinaletter,16,endprocess)"
43,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(5,6,1,sendabankcardinaletter,16,endprocess)(6,7,1,endprocess,18,anewbankaccountwascreated)"
44,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(4,8,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendabankcardinaletter,16,endprocess)(6,7,1,endprocess,18,anewbankaccountwascreated)"
45,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(4,7,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendabankcardinaletter,16,endprocess)"
46,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,6,sendapinnumberinaletter)"
47,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
48,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendapinnumberinaletter,17,endprocess)"
49,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendapinnumberinaletter,17,endprocess)(6,7,1,endprocess,18,anewbankaccountwascreated)"
50,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,21,sss)"
51,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,21,sss)(5,6,1,sss,22,anewbankaccountwascreated)"
52,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)"
53,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)"
54,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,5,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
55,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,5,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
56,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,6,1,createanewbankaccount,5,sendabankcardinaletter)(3,7,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
57,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
58,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)"
59,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(5,6,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
60,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,7,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
61,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)"
62,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
63,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendapinnumberinaletter,17,endprocess)"
64,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendapinnumberinaletter,17,endprocess)(7,8,1,endprocess,18,anewbankaccountwascreated)"
65,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(5,6,1,sendabankcardinaletter,16,endprocess)"
66,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(5,6,1,sendabankcardinaletter,16,endprocess)(6,7,1,endprocess,18,anewbankaccountwascreated)"
67,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,8,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendabankcardinaletter,16,endprocess)(6,7,1,endprocess,18,anewbankaccountwascreated)"
68,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,7,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendabankcardinaletter,16,endprocess)"
69,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,6,sendapinnumberinaletter)"
70,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,3,1,evaluatetheapplication,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
